                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6553,                 3.8857,                 1.2037,                0.00293,                0.22917,                0.01113,                0.00377,                 1.3752,                  4.201,                 1.0695,                 0.0991,                 0.0001,                 0.0001
                      1,                  1.547,                 3.8097,                 1.2441,                 0.0029,                0.22917,                0.01218,                0.00426,                 1.3046,                 4.1883,                 1.0658,               0.097299,             0.00029851,             0.00029851
                      2,                  1.477,                 3.8388,                  1.158,                 0.0029,                0.22917,                0.01372,                0.00516,                 1.1806,                  4.147,                 1.0433,               0.095495,             0.00049505,             0.00049505
                      3,                 1.4234,                 3.8077,                 1.1988,                 0.0029,                0.22917,                0.00883,                0.00347,                 1.1378,                 4.1175,                  1.032,                0.09369,              0.0006896,              0.0006896
                      4,                 1.3317,                 3.9172,                   1.11,                 0.0029,                0.22917,                0.02214,                0.00878,                 1.1882,                 4.1357,                 1.0253,               0.091882,             0.00088218,             0.00088218
                      5,                 1.2021,                 3.6581,                 1.0945,                 0.0029,                0.22917,                0.02579,                0.01371,                 1.2872,                 4.1552,                 1.0276,               0.090073,              0.0010728,              0.0010728
                      6,                 1.1583,                 3.6096,                  1.055,                 0.0029,                0.22917,                0.04395,                0.02988,                 1.2542,                 4.1255,                 1.0012,               0.088261,              0.0012614,              0.0012614
                      7,                 1.1141,                 3.4394,                 1.0163,                0.00291,                0.22917,                0.02888,                0.02134,                 1.1862,                 4.0704,                 1.0001,               0.086448,               0.001448,               0.001448
                      8,                 1.3085,                 3.5055,                 1.0243,                0.00292,                0.22917,                0.04313,                0.03196,                 1.1895,                 4.0601,                0.97577,               0.084633,              0.0016327,              0.0016327
                      9,                 1.2214,                 3.2766,                 1.0511,                0.00292,                0.22917,                0.03183,                0.02064,                 1.2159,                 3.9827,                 1.0174,               0.082815,              0.0018154,              0.0018154
                     10,                 1.1305,                 3.1496,                0.99912,                0.00293,                0.22917,                0.03834,                 0.0271,                 1.2796,                 3.9766,                0.99274,               0.080996,               0.001996,               0.001996
                     11,                 1.1636,                 2.9684,                 1.0556,                0.00377,                0.29167,                0.05125,                0.03757,                 1.1945,                 3.9362,                0.98683,               0.079175,              0.0021748,              0.0021748
                     12,                 1.1816,                 2.7675,                 1.0175,                0.00376,                0.29167,                0.04492,                0.02764,                  1.144,                  3.914,                0.99021,               0.077352,              0.0023515,              0.0023515
                     13,                 1.1865,                 2.7026,                  1.064,                0.00417,                 0.3125,                0.08405,                0.05003,                 1.1827,                 3.8283,                 0.9653,               0.075526,              0.0025263,              0.0025263
                     14,                 1.1823,                 2.4961,                 1.0249,                0.00737,                    0.5,                0.08256,                0.05329,                 1.1528,                 3.7551,                0.95824,               0.073699,               0.002699,               0.002699
                     15,                 1.1031,                 2.3325,                0.97887,                0.00738,                    0.5,                0.12806,                0.08113,                 1.1201,                 3.6692,                0.97553,                0.07187,              0.0028698,              0.0028698
                     16,                 1.0606,                 2.2174,                0.99839,                0.00617,                0.41667,                0.18468,                0.12568,                 1.1059,                 3.6564,                0.98163,               0.070039,              0.0030386,              0.0030386
                     17,                 1.2214,                 2.0131,                 1.0366,                0.00862,                0.58333,                0.20401,                0.12968,                 1.0602,                 3.5701,                0.95121,               0.068205,              0.0032055,              0.0032055
                     18,                 1.3409,                 2.2994,                 1.0103,                0.00783,                0.54167,                 0.1643,                0.11996,                 1.0274,                 3.6044,                0.95038,                0.06637,              0.0033703,              0.0033703
                     19,                 1.1458,                 1.9762,                 1.0188,                0.00784,                0.54167,                 0.1622,                0.12013,                 1.0435,                 3.6026,                0.94355,               0.064533,              0.0035332,              0.0035332
                     20,                 1.2924,                  1.836,                 1.0323,                0.00705,                    0.5,                 0.1299,                0.08964,                  1.159,                 3.5962,                0.95435,               0.062694,              0.0036941,              0.0036941
                     21,                 1.1577,                 1.8605,                0.96538,                0.00784,                0.54167,                0.14068,                0.08839,                  1.072,                 3.5948,                0.91872,               0.060853,               0.003853,               0.003853
                     22,                 1.1782,                 1.8331,                 1.0058,                0.01027,                0.70833,                0.14992,                0.09252,                 1.0101,                 3.5434,                0.92623,                0.05901,              0.0040099,              0.0040099
                     23,                 1.0864,                 1.8365,                0.97704,                0.01148,                0.79167,                0.15318,                0.09449,                 1.1685,                 3.5978,                0.96498,               0.057165,              0.0041649,              0.0041649
                     24,                 1.0973,                 1.9148,                 0.9851,                0.00861,                0.58333,                0.21797,                0.12418,                 1.1379,                 3.5872,                0.98487,               0.055318,              0.0043179,              0.0043179
                     25,                 1.2767,                 1.8111,                 1.0095,                0.00982,                0.66667,                0.23586,                0.12023,                 1.1636,                 3.5095,                 1.0144,               0.053469,              0.0044689,              0.0044689
                     26,                 1.1048,                 1.9121,                0.96399,                0.01058,                0.70833,                0.21518,                0.13249,                 1.3532,                 3.4798,                 1.0783,               0.051618,              0.0046179,              0.0046179
                     27,                 1.1256,                 1.8236,                0.99175,                0.01058,                0.70833,                0.21518,                0.13249,                 1.3532,                 3.4798,                 1.0783,               0.049765,              0.0047649,              0.0047649
                     28,                 1.1487,                 1.8492,                 1.0006,                0.01069,                0.72917,                0.19427,                0.11408,                 1.1725,                 3.4816,                 1.0393,                0.04791,                0.00491,                0.00491
                     29,                 1.0498,                 1.7838,                0.97295,                0.41772,                   0.25,                0.21447,                0.13692,                 1.1833,                  3.418,                 1.0295,               0.046053,              0.0050531,              0.0050531
                     30,                 1.0524,                 1.6307,                0.97964,                0.41772,                   0.25,                0.21447,                0.13692,                 1.1833,                  3.418,                 1.0295,               0.044194,              0.0051941,              0.0051941
                     31,                 1.1075,                 1.7666,                0.99291,                 0.0115,                0.77083,                0.25145,                0.15182,                 1.0921,                 3.3877,                0.98212,               0.042333,              0.0053333,              0.0053333
                     32,                 1.1606,                 1.7037,                0.96875,                0.89824,                 0.0625,                0.30466,                0.16328,                  1.222,                  3.323,                0.99734,                0.04047,              0.0054704,              0.0054704
                     33,                 1.2512,                 1.7009,                0.98163,                0.89824,                 0.0625,                0.30466,                0.16328,                  1.222,                  3.323,                0.99734,               0.038606,              0.0056056,              0.0056056
                     34,                  1.052,                 1.5857,                0.96293,                 0.9072,                0.16327,                 0.4047,                0.24033,                 1.1754,                 3.0964,                0.97656,               0.036739,              0.0057387,              0.0057387
                     35,                 1.0804,                 1.5951,                0.95285,                0.56531,                0.16874,                0.28542,                  0.168,                 1.2027,                 3.1778,                 1.0033,                0.03487,              0.0058699,              0.0058699
                     36,                 1.2437,                 1.5842,                 1.0006,                0.56531,                0.16874,                0.28542,                  0.168,                 1.2027,                 3.1778,                 1.0033,               0.032999,              0.0059991,              0.0059991
                     37,                 1.0444,                 1.7799,                0.91753,                0.52424,                0.14583,                0.23308,                0.14384,                 1.3217,                 3.2398,                 1.0204,               0.031126,              0.0061264,              0.0061264
                     38,                 1.1664,                 1.6404,                0.98032,                0.54593,                 0.1828,                0.39355,                0.20781,                 1.2864,                 2.9217,                 1.0249,               0.029252,              0.0062516,              0.0062516
                     39,                 1.2279,                 1.7976,                0.99365,                0.54593,                 0.1828,                0.39355,                0.20781,                 1.2864,                 2.9217,                 1.0249,               0.027375,              0.0063749,              0.0063749
                     40,                 1.1575,                 1.6349,                 1.0063,                 0.7271,                0.22618,                0.46611,                0.25476,                 1.2214,                 2.8545,                 1.0419,               0.025496,              0.0064962,              0.0064962
                     41,                 1.0555,                  1.526,                0.94123,                0.66707,                0.16756,                0.39381,                0.22567,                 1.2013,                 2.9898,                 1.0104,               0.023616,              0.0066155,              0.0066155
                     42,                 1.3244,                 1.6381,                0.99352,                0.66707,                0.16756,                0.39381,                0.22567,                 1.2013,                 2.9898,                 1.0104,               0.021733,              0.0067329,              0.0067329
                     43,                 1.2107,                 1.5312,                 1.0313,                0.87007,                0.23631,                0.42654,                0.23485,                 1.3559,                 3.0464,                0.99735,               0.019848,              0.0068482,              0.0068482
                     44,                 1.5222,                 1.6299,                 1.0453,                0.87007,                0.23631,                0.42654,                0.23485,                 1.3559,                 3.0464,                0.99735,               0.017962,              0.0069616,              0.0069616
                     45,                 1.3144,                 1.6328,                 1.0105,                0.82803,                0.22483,                 0.4572,                0.27831,                 1.2926,                 2.8876,                0.99439,               0.016073,               0.007073,               0.007073
                     46,                 1.2535,                 1.5007,                0.98816,                0.82803,                0.22483,                 0.4572,                0.27831,                 1.2926,                 2.8876,                0.99439,               0.014182,              0.0071824,              0.0071824
                     47,                 1.0296,                 1.4923,                0.96979,                0.67536,                0.15737,                0.34351,                0.21301,                 1.3483,                 3.1404,                 1.0091,                0.01229,              0.0072898,              0.0072898
                     48,                 1.2121,                 1.5049,                0.98299,                0.67536,                0.15737,                0.34351,                0.21301,                 1.3483,                 3.1404,                 1.0091,               0.010395,              0.0073953,              0.0073953
                     49,                 1.3624,                 1.6606,                 1.0262,                0.83436,                0.25767,                0.48846,                0.28678,                 1.3288,                 2.8298,                 1.0013,              0.0084988,              0.0074988,              0.0074988
                     50,                 1.0905,                 1.4126,                 1.0179,                0.83436,                0.25767,                0.48846,                0.28678,                 1.3288,                 2.8298,                 1.0013,               0.007525,               0.007525,               0.007525
                     51,                 1.1387,                 1.5116,                 0.9867,                0.73818,                0.24942,                0.44596,                 0.2512,                 1.4739,                 2.9721,                 1.0431,               0.007525,               0.007525,               0.007525
                     52,                 1.2266,                 1.6407,                0.99156,                0.73818,                0.24942,                0.44596,                 0.2512,                 1.4739,                 2.9721,                 1.0431,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0863,                 1.7321,                 1.0358,                 0.6186,                0.21905,                0.38469,                0.21695,                 1.3868,                 2.9383,                   1.08,               0.007426,               0.007426,               0.007426
                     54,                 1.0398,                 1.5304,                 1.0062,                 0.6186,                0.21905,                0.38469,                0.21695,                 1.3868,                 2.9383,                   1.08,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1575,                 1.5302,                 1.0325,                0.79071,                 0.3371,                0.49919,                0.33358,                 1.2812,                 2.6698,                 1.0236,               0.007327,               0.007327,               0.007327
                     56,                 1.1648,                 1.5048,                0.94417,                0.79071,                 0.3371,                0.49919,                0.33358,                 1.2812,                 2.6698,                 1.0236,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.1386,                 1.4625,                0.97845,                0.88378,                 0.3125,                 0.4612,                0.26522,                 1.3888,                 2.7018,                 1.0636,               0.007228,               0.007228,               0.007228
                     58,                 1.3325,                 1.5357,                0.99013,                0.88378,                 0.3125,                 0.4612,                0.26522,                 1.3888,                 2.7018,                 1.0636,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.2402,                 1.4282,                0.98434,                0.83809,                0.37628,                0.51341,                0.30088,                 1.2805,                  2.688,                 1.0533,               0.007129,               0.007129,               0.007129
                     60,                 1.0714,                 1.3249,                0.94551,                0.83809,                0.37628,                0.51341,                0.30088,                 1.2805,                  2.688,                 1.0533,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.0901,                 1.4708,                0.96581,                0.64561,                0.45833,                0.50159,                0.26496,                  1.268,                 2.5168,                 1.0388,                0.00703,                0.00703,                0.00703
                     62,                 1.1886,                 1.5492,                 0.9661,                0.64561,                0.45833,                0.50159,                0.26496,                  1.268,                 2.5168,                 1.0388,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.2673,                 1.5547,                0.98638,                0.51179,                0.54357,                0.46547,                 0.2387,                  1.235,                 2.4049,                 1.0351,               0.006931,               0.006931,               0.006931
                     64,                 1.0528,                 1.5234,                0.98713,                0.51179,                0.54357,                0.46547,                 0.2387,                  1.235,                 2.4049,                 1.0351,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.1923,                 1.4914,                0.95623,                0.69545,                0.36989,                 0.4642,                0.26144,                 1.2812,                 2.5756,                 1.0289,               0.006832,               0.006832,               0.006832
                     66,                 1.1335,                  1.431,                0.99127,                0.69545,                0.36989,                 0.4642,                0.26144,                 1.2812,                 2.5756,                 1.0289,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.0798,                 1.5316,                0.96034,                 0.6005,                0.43791,                0.47646,                0.26125,                 1.2679,                 2.4834,                 1.0259,               0.006733,               0.006733,               0.006733
                     68,                 1.1328,                 1.3945,                0.97674,                 0.6005,                0.43791,                0.47646,                0.26125,                 1.2679,                 2.4834,                 1.0259,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0541,                 1.3497,                0.96343,                0.48345,                0.41667,                0.49954,                0.27192,                 1.3377,                 2.3295,                 1.0314,               0.006634,               0.006634,               0.006634
                     70,                 1.1862,                 1.3755,                0.95241,                0.48345,                0.41667,                0.49954,                0.27192,                 1.3377,                 2.3295,                 1.0314,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.0814,                 1.4294,                0.96652,                0.50973,                  0.375,                 0.4597,                0.24457,                 1.4382,                 2.4932,                 1.0225,               0.006535,               0.006535,               0.006535
                     72,                 1.0946,                 1.3502,                0.98311,                0.50973,                  0.375,                 0.4597,                0.24457,                 1.4382,                 2.4932,                 1.0225,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.1101,                 1.3706,                0.97463,                0.57226,                0.35417,                0.45751,                0.24764,                 1.3135,                 2.3835,                 1.0478,               0.006436,               0.006436,               0.006436
                     74,                 1.1741,                 1.3902,                 1.0206,                0.57226,                0.35417,                0.45751,                0.24764,                 1.3135,                 2.3835,                 1.0478,              0.0063865,              0.0063865,              0.0063865
                     75,                0.96973,                 1.2552,                0.94999,                0.38076,                0.48824,                0.45626,                0.26162,                 1.3262,                 2.2991,                  1.037,               0.006337,               0.006337,               0.006337
                     76,                 1.0278,                 1.3309,                0.96199,                0.38076,                0.48824,                0.45626,                0.26162,                 1.3262,                 2.2991,                  1.037,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.0642,                 1.2388,                0.95184,                0.42287,                    0.5,                0.49162,                0.26725,                  1.306,                 2.2394,                 1.0516,               0.006238,               0.006238,               0.006238
                     78,                 1.2216,                 1.2987,                0.95712,                0.42287,                    0.5,                0.49162,                0.26725,                  1.306,                 2.2394,                 1.0516,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.0465,                 1.2608,                0.95744,                0.48962,                 0.3125,                0.40266,                0.21166,                 1.4081,                 2.4713,                 1.0813,               0.006139,               0.006139,               0.006139
                     80,                 1.1014,                 1.2991,                0.93733,                0.48962,                 0.3125,                0.40266,                0.21166,                 1.4081,                 2.4713,                 1.0813,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.0085,                 1.2471,                 0.9327,                 0.4705,                   0.25,                0.35419,                0.19827,                   1.36,                 2.5726,                 1.0887,                0.00604,                0.00604,                0.00604
                     82,                 1.1071,                 1.2734,                0.97847,                 0.4705,                   0.25,                0.35419,                0.19827,                   1.36,                 2.5726,                 1.0887,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.1581,                 1.3853,                0.98646,                0.47983,                  0.375,                0.38982,                0.20301,                 1.3933,                 2.6207,                 1.0643,               0.005941,               0.005941,               0.005941
                     84,                 1.1807,                 1.4522,                 1.0033,                0.47983,                  0.375,                0.38982,                0.20301,                 1.3933,                 2.6207,                 1.0643,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.1421,                  1.277,                0.96404,                0.60117,                0.32516,                0.41413,                0.24802,                 1.3392,                 2.4271,                   1.06,               0.005842,               0.005842,               0.005842
                     86,                0.96122,                 1.2461,                0.96482,                0.60117,                0.32516,                0.41413,                0.24802,                 1.3392,                 2.4271,                   1.06,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.1076,                 1.2641,                 1.0013,                0.69012,                0.46014,                0.57072,                0.33746,                 1.2764,                 2.2935,                0.99678,               0.005743,               0.005743,               0.005743
                     88,                 1.1228,                 1.1652,                0.95031,                0.69012,                0.46014,                0.57072,                0.33746,                 1.2764,                 2.2935,                0.99678,              0.0056935,              0.0056935,              0.0056935
                     89,                0.97333,                 1.1584,                0.92759,                 0.5999,                0.38841,                0.50226,                0.28341,                 1.2471,                 2.4022,                0.99983,               0.005644,               0.005644,               0.005644
                     90,                0.98886,                 1.2277,                0.96986,                 0.5999,                0.38841,                0.50226,                0.28341,                 1.2471,                 2.4022,                0.99983,              0.0055945,              0.0055945,              0.0055945
                     91,                0.95153,                 1.1986,                0.96439,                0.70997,                0.39583,                0.52715,                0.31142,                 1.2402,                 2.3572,                0.99723,               0.005545,               0.005545,               0.005545
